candidate_id,case_id,text,weak_label,confidence,noise_flag,priority_score,priority_reason,review_decision,final_label
candidate_0027,account_management_realistic,"Our renewal is 30 days out, two onboarding issues are still unresolved",risk_friction,0.0,,5,high_business_context;low_confidence,,
candidate_0029,account_management_realistic,I own the recovery plan and will send named owners this afternoon with a renewal review for next Tuesday.,opportunity_commitment,0.0,,5,high_business_context;low_confidence,,
candidate_0033,sales_calls_realistic,"We're interested, but the enterprise price is higher than Zendesk and Intercom, and I still do not know what happens after the pilot.",risk_friction,0.0,,5,high_business_context;low_confidence,,
candidate_0039,sales_calls_realistic,"and discount range, procurement will not move this week.",risk_friction,0.0,,5,high_business_context;low_confidence,,
candidate_0050,support_tickets_realistic,and if this slips again we will escalate the dispute.,risk_friction,0.0,,5,high_business_context;low_confidence,,
candidate_0054,sample_account_management,"Our renewal is in about 45 days, and we're still dealing with two unresolved onboarding issues from the launch.",risk_friction,0.0,,5,high_business_context;low_confidence,,
candidate_0056,sample_account_management,and we're still dealing with two unresolved onboarding issues from the launch.,risk_friction,0.0,,5,high_business_context;low_confidence,,
candidate_0059,sample_account_management,"But if these issues stay open into renewal, we may cut seats, delay the renewal, or look at another vendor.",risk_friction,0.0,,5,high_business_context;low_confidence,,
candidate_0060,sample_account_management,I'll confirm owners today and schedule a renewal review next week so we can decide whether expansion is still realistic.,opportunity_commitment,0.0,,5,high_business_context;low_confidence,,
candidate_0073,sample_sales,"I can send a pilot plan, pricing options, and a proposal by Tuesday, and I can include the security packet for procurement.",opportunity_commitment,0.0,,5,high_business_context;low_confidence,,
candidate_0074,sample_sales,"I can send a pilot plan, pricing options",opportunity_commitment,0.0,,5,high_business_context;low_confidence,,
candidate_0076,sample_sales,and I can include the security packet for procurement.,opportunity_commitment,0.0,,5,high_business_context;low_confidence,,
candidate_0084,sample_support,Refund timing sits with another team,risk_friction,0.0,,5,high_business_context;low_confidence,,
candidate_0089,sample_support,and if this is still unresolved today I'll escalate it to your manager and dispute the charge.,risk_friction,0.0,,5,high_business_context;low_confidence,,
candidate_0105,account_management_demo_output,Account team commitment language detected.,neutral,0.35,,5,high_business_context;low_confidence,,
candidate_0130,buyer_one_pager,deliver a deterministic risk and signal report,neutral,0.35,,5,high_business_context;low_confidence,,
candidate_0228,sales_demo_output,"I can send a pilot plan, pricing options, and a proposal by Tuesday, and I can include the security packet for pr...",opportunity_commitment,0.0,,5,high_business_context;low_confidence,,
candidate_0241,demo_index,"support: `support_low_directness, support_deflection, support_frustration, support_escalation_risk`",neutral,0.35,,5,high_business_context;low_confidence,,
candidate_0242,demo_index,"sales: `sales_pricing_risk, sales_objection_pressure, sales_competitor_pressure, sales_buyer_intent, sales_next_step_defined`",neutral,0.35,,5,high_business_context;low_confidence,,
