start,end,sentiment_score,rolling_mean_5,rolling_std_5,tone_change_z,is_change,text
0.0,33.846,0.9980125427246094,0.9980125427246094,0.0,0.0,False,"Good afternoon, and welcome to the Netflix Q1 2022 Earnings Interview. I'm Spencer Wang, VP of IR and Corporate Development. Joining me today are Co-CEO, Reed Hastings; Co-CEO and Chief Content Officer, Ted Sarandos; COO and Chief Product Officer, Greg Peters; and CFO, Spence Neumann. Our interviewer this quarter is Doug Anmuth from JPMorgan. As a reminder, we'll be making forward-looking statements, and actual results may vary. With that, Doug, I'm going to turn it over to you for the first question."
33.846,52.308,0.9966632723808289,0.9973379075527191,0.0006746351718902588,-1.0,False,"Great. Thanks, Spencer. So your tone in the letter today around competition, maturity and macro factors is very different than it was 3 months ago. I was hoping that you could start out by just walking us through how your views have changed over the past few months."
52.308,115.0,-0.967782735824585,0.34229769309361774,0.9263669189575988,-1.4142133123583258,False,"Yes, Doug. I mean I think our views are a little different because our numbers are a little different. If we had made our 2.5 million guidance, I think that was consistent with our thesis. And the lower acquisition really forced us to kind of tease apart what's going on. And as we put in the letter, COVID created a lot of noise on how to read the situation, boosted us a lot in 2020. And then in 2021, I think we thoughtfully said it was mostly pull forward, which was the logical conclusion. But now, coming into 2022, that doesn't really hold. So then pushing into it, we realized, with all of the account sharing, which we've always had, that's not a new thing, but when you add that up together, we're getting pretty high market penetration. And that, combined with the competition, is really what we think is driving the lower acquisition and lower growth."
115.0,183.077,0.9981277585029602,0.5062552094459534,0.851036399285909,0.5779688735637267,False,"So on the 2 parts, we're working on how to monetize sharing. We've been thinking about that for a couple of years. But when we were growing fast, it wasn't the high priority to work on. And now, we're working super hard on it. And remember, these are over 100 million households that already are choosing to view Netflix. They love the service. We just got to get paid at some degree for them. So that's part of it. And then two, it's really -- we got great competition. They've got some very good shows and films out. And what we've got to do is take it up a notch. And I'll tell you that we're all pretty -- I know it's disappointing for investors, and it is for sure. But internally, we're really geared up, and this is like our moment to shine. This is when it all matters. And we're super focused on achieving those objectives and getting back into our investors' good graces."
183.077,228.462,0.6974472403526306,0.5444936156272888,0.7650222644843582,0.19993355987937933,False,"Yes. The only thing I might add, Reed, is just that we put a finer point on kind of elaborating on what we're seeing in terms of slowing growth and near-term slowing growth. But the long-term addressable market, we believe, is unchanged in terms of all broadband households. It's just that we have a better sense that COVID clouded in terms of these near-term limiters to penetrate that growth and capture that market. So that's one of the things that we put a finer point on this letter, but I just want to reinforce that the core addressable market is still there, and that's what we're still growing into, Doug."
228.462,268.077,-0.9989689588546753,0.14509731531143188,0.9279337911559092,-1.2329180002605207,False,"Okay. So maybe just in terms of the recent trends, if we could talk about 1Q a little bit more. You lost 200,000 subscribers or gained 500,000 ex the Russia removal. Hoping you could perhaps parse out a little bit around some of those factors that you mentioned. It sounds like acquisition might be at the top of the list, and you've talked about that for a little while now, but hoping you could kind of isolate some of those factors. And then talk to us about how that informs your 2Q guide for a loss of 2 million subscribers."
268.077,330.0,0.9888243079185486,0.14352952241897582,0.9264992145475847,0.9123534831190714,False,"Sure. I'll take that, and then others can fill in. So as you said, Doug, we guided to 2.5 million paid net adds. We delivered 0.5 million, if you exclude Russia. So there's really a 2 million miss in our Q1 actuals versus guidance. And what's really reflected there is acquisition growth was consistent with what we expected. We were seeing that slowdown when we did the guide, and it played out as expected. The difference is really some slight elevated churn throughout Q1. And this is pretty small. So retention was still very good, but we're talking about it like 0.2 to 0.3 percentage point, but on our big member base, that has a pretty big flow through. It's a combination of factors there. We talked about interrelated factors in the letter, but one very directly, that Russia's invasion of Ukraine had some spillover effect in other parts of EMEA."
330.0,380.385,-0.9585537910461426,0.1453753113746643,0.9242899580324307,-1.1943536688105758,False,"We saw that in the Central and Eastern European countries. There were some elevated churn. We also saw probably some -- a little bit more macro strain in some countries, some parts of the world, like Latin America, we mentioned that on the last call, but that was elevated, and just a little bit more seasonality in the business. We suspect some of that is those macro factors we mentioned and maybe a little bit of competition on the margin as well. So that's really what we saw in Q2 -- I'm sorry, in Q1. And that's really what's reflected in Q2, which is sort of the continued trends we're seeing in acquisition and this -- it's a -- that slightly elevated churn to probably continue through the quarter."
380.385,394.231,0.9218994379043579,0.13012964725494386,0.9106262091797175,0.8694783684763828,False,"It's just a softer seasonal quarter for us typically, and that's what's reflected in the guide, is a little bit of softer seasonality and the same -- essentially the same acquisition and retention trends."
394.231,453.462,0.9924887418746948,0.1891379475593567,0.9540025705768594,0.8420845174762724,False,"And maybe I could pick it up and talk about the first 2 factors you want a little bit more detail on. And we have this addressable market that's expanding over time in every country that we're operating in. It's a bunch of enabling factors, like broadband and smart TVs. And then in some countries that we're operating in, where we've been operating the longest, like the U.S. is a great example, we have really significant high penetration of viewers into that near-term market potential. And that was really boosted by sort of this growth at the beginning period of COVID and the lockdown. Now that viewer penetration is made up of 2 groups. One is a group that's paying us, which is great. And then there is a group of viewers that are not paying us, and they're sharing someone else's account credential."
